Symbol,Category,Asset Class,Asset Class Size,Asset Class Style,Region (General),Region (Specific),Sector (General)
RYT,Technology Equities,Equity,Multi-Cap,Growth,North America,U.S.,Technology
IGLB,Corporate Bonds,Bond,,,North America,U.S.,
ASHR,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
FXL,Technology Equities,Equity,Multi-Cap,Growth,North America,U.S.,Technology
NFRA,Utilities Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Utilities
SPIP,Inflation-Protected Bonds,Bond,,,North America,U.S.,
FNDC,Foreign Small & Mid Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
GVI,Total Bond Market,Bond,,,North America,U.S.,
SLQD,Corporate Bonds,Bond,,,North America,U.S.,
EPP,Asia Pacific Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Pacific ex-Japan,
FLRN,Corporate Bonds,Bond,,,Developed Markets,Broad,
BSCM,Corporate Bonds,Bond,,,North America,U.S.,
HYLS,High Yield Bonds,Bond,,,North America,U.S.,
BAB,National Munis,Bond,,,North America,U.S.,
SGOL,Precious Metals,Commodity,,,,,
KBWB,Financials Equities,Equity,Multi-Cap,Value,North America,U.S.,Financials
PZA,National Munis,Bond,,,North America,U.S.,
QYLD,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
VONE,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
SLYG,Small Cap Growth Equities,Equity,Micro-Cap,Growth,North America,U.S.,
VGLT,Government Bonds,Bond,,,North America,U.S.,
ICF,Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
IYF,Financials Equities,Equity,Large-Cap,Blend,North America,U.S.,Financials
RPV,All Cap Equities,Equity,Multi-Cap,Value,North America,U.S.,
IYT,Transportation Equities,Equity,Multi-Cap,Blend,North America,U.S.,Industrials
AMJ,MLPs,Equity,Multi-Cap,Blend,North America,U.S.,Energy
VOOV,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
HACK,Technology Equities,Equity,Multi-Cap,Blend,North America,U.S.,Technology
FEZ,Europe Equities,Equity,Mega-Cap,Blend,Developed Europe,Broad,
UPRO,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,
FMB,National Munis,Bond,,,North America,U.S.,
FPX,Large Cap Growth Equities,Equity,Multi-Cap,Growth,North America,U.S.,
HEDJ,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,
DGS,Emerging Markets Equities,Equity,Small-Cap,Blend,Emerging Markets,Broad,
SPXL,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,
DEM,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
FBT,Health & Biotech Equities,Equity,Multi-Cap,Growth,North America,U.S.,Healthcare
HYS,High Yield Bonds,Bond,,,Developed Markets,Broad,
PRFZ,Small Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,
DBC,Commodities,Commodity,,,,,
PEJ,Consumer Discretionary Equities,Equity,Multi-Cap,Blend,North America,U.S.,Consumer Discretionary
BSCL,Corporate Bonds,Bond,,,Developed Markets,Broad,
TNA,Leveraged Equities,Equity,Micro-Cap,Blend,North America,U.S.,
GXC,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
ROBO,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Technology
EMLP,MLPs,Equity,Multi-Cap,Blend,North America,U.S.,Energy
IYE,Energy Equities,Equity,Multi-Cap,Value,North America,U.S.,Energy
GNR,Commodity Producers Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,Materials
TECL,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
DES,Small Cap Blend Equities,Equity,Micro-Cap,Blend,North America,U.S.,
PGF,Preferred Stock/Convertible Bonds,Preferred Stock,Micro-Cap,Blend,North America,U.S.,
BSCN,Corporate Bonds,Bond,,,Developed Markets,Broad,
EMQQ,Emerging Markets Equities,Equity,Multi-Cap,Blend,Emerging Markets,Broad,Technology
FTSL,High Yield Bonds,Bond,,,Developed Markets,Broad,
PDP,Large Cap Growth Equities,Equity,Multi-Cap,Growth,North America,U.S.,
ILF,Latin America Equities,Equity,Large-Cap,Blend,Latin America,Broad,
ITM,National Munis,Bond,,,North America,U.S.,
FBND,Total Bond Market,Bond,,,Developed Markets,Broad,
USRT,Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
ILCG,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
XHB,Building & Construction ,Equity,Mid-Cap,Blend,North America,U.S.,Materials
XME,Materials,Equity,Multi-Cap,Blend,North America,U.S.,Materials
CMF,California Munis,Bond,,,North America,U.S.,
AOR,Diversified Portfolio,Multi-Asset,Multi-Cap,Blend,Developed Markets,Broad,
XLG,Large Cap Growth Equities,Equity,Mega-Cap,Growth,North America,U.S.,
RSX,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Europe,Russia,
SLY,Small Cap Blend Equities,Equity,Small-Cap,Blend,North America,U.S.,
FXD,Consumer Discretionary Equities,Equity,Multi-Cap,Blend,North America,U.S.,Consumer Discretionary
PKW,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
MDYG,Mid Cap Growth Equities,Equity,Mid-Cap,Growth,North America,U.S.,
IEV,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,Consumer Staples
DXJ,Japan Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Japan,
SPHB,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
RWO,Global Real Estate,Real Estate,Multi-Cap,Blend,Developed Markets,Broad,Real Estate
XMLV,Volatility Hedged Equity,Equity,Small-Cap,Blend,North America,U.S.,
EWL,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,
CWI,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,
FDL,Large Cap Value Equities,Equity,Large-Cap,Blend,North America,U.S.,
CQQQ,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,Technology
HYMB,National Munis,Bond,,,North America,U.S.,
VIOO,Small Cap Blend Equities,Equity,Small-Cap,Blend,North America,U.S.,
IYJ,Industrials Equities,Equity,Large-Cap,Blend,North America,U.S.,Industrials
TILT,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
AOM,Diversified Portfolio,Multi-Asset,Multi-Cap,Blend,Developed Markets,Broad,
VRP,Preferred Stock/Convertible Bonds,Multi-Asset,Multi-Cap,Blend,North America,U.S.,
SH,Inverse Equities,Equity,Large-Cap,Blend,North America,U.S.,
SQQQ,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,
PPLT,Precious Metals,Commodity,,,,,
IYY,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
FXR,Industrials Equities,Equity,Multi-Cap,Blend,North America,U.S.,Industrials
REM,Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
IMCG,Mid Cap Growth Equities,Equity,Mid-Cap,Growth,North America,U.S.,
IYG,Financials Equities,Equity,Large-Cap,Blend,North America,U.S.,Financials
FNCL,Financials Equities,Equity,Large-Cap,Blend,North America,U.S.,Financials
QDF,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
RWR,Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
TDIV,Technology Equities,Equity,Large-Cap,Blend,North America,U.S.,Technology
IYC,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,Consumer Discretionary
PHO,Water Equities ,Equity,Multi-Cap,Blend,North America,U.S.,Industrials
MDYV,Mid Cap Value Equities,Equity,Mid-Cap,Value,North America,U.S.,
FDIS,Consumer Discretionary Equities,Equity,Large-Cap,Growth,North America,U.S.,Consumer Discretionary
XSLV,Volatility Hedged Equity,Equity,Micro-Cap,Blend,North America,U.S.,
DLS,Foreign Small & Mid Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
TDTT,Inflation-Protected Bonds,Bond,,,North America,U.S.,
BSCO,Corporate Bonds,Bond,,,North America,U.S.,
IWC,Small Cap Blend Equities,Equity,Micro-Cap,Blend,North America,U.S.,
FXH,Health & Biotech Equities,Equity,Mid-Cap,Growth,North America,U.S.,Healthcare
PXH,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
EWA,Asia Pacific Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Australia,
QLTA,Corporate Bonds,Bond,,,North America,U.S.,
XAR,Industrials Equities,Equity,Multi-Cap,Blend,North America,U.S.,Industrials
PSK,Preferred Stock/Convertible Bonds,Preferred Stock,Micro-Cap,,North America,U.S.,
IVOO,Small Cap Growth Equities,Equity,Small-Cap,Blend,North America,U.S.,
IXC,Energy Equities,Equity,Large-Cap,Value,Developed Markets,Broad,Energy
EWH,Asia Pacific Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Pacific ex-Japan,
AOA,Diversified Portfolio,Multi-Asset,Multi-Cap,Blend,Developed Markets,Broad,
UVXY,Leveraged Volatility,Volatility,,,North America,U.S.,
TBT,Leveraged Bonds,Bond,,,North America,U.S.,
EUFN,Financials Equities,Equity,Large-Cap,Value,Developed Europe,Broad,Financials
QQEW,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
URTH,Large Cap Growth Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
EBND,Emerging Markets Bonds,Bond,,,Broad Asia,Pacific ex-Japan,
VIOV,Small Cap Value Equities,Equity,Micro-Cap,Blend,North America,U.S.,
OIH,Energy Equities,Equity,Multi-Cap,Value,Developed Markets,Broad,Energy
IGOV,International Government Bonds,Bond,,,Developed Markets,Broad,
IPAC,Asia Pacific Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Broad,
SDOG,Large Cap Value Equities,Equity,Multi-Cap,Value,North America,U.S.,
EWW,Latin America Equities,Equity,Multi-Cap,Blend,Latin America,Mexico,
IWX,Large Cap Blend Equities,Equity,Mega-Cap,Blend,North America,U.S.,
IHF,Health & Biotech Equities,Equity,Multi-Cap,Blend,North America,U.S.,Healthcare
FPXI,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,
SIL,Materials,Equity,Multi-Cap,Blend,Developed Markets,Broad,Materials
GSG,Commodities,Commodity,,,,,
MOO,Large Cap Blend Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,Materials
USFR,Government Bonds,Bond,,,North America,U.S.,
PXF,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
FEX,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,
TLH,Government Bonds,Bond,,,North America,U.S.,
UCO,Leveraged Commodities,Commodity,,,,,
EDV,Government Bonds,Bond,,,North America,U.S.,
FTC,Large Cap Growth Equities,Equity,Multi-Cap,Growth,North America,U.S.,
LDUR,Total Bond Market,Bond,,,Developed Markets,Broad,
FXO,Financials Equities,Equity,Multi-Cap,Blend,North America,U.S.,Financials
FUTY,Utilities Equities,Equity,Multi-Cap,Value,North America,U.S.,Utilities
PNQI,Large Cap Growth Equities,Equity,Large-Cap,Growth,Developed Markets,Broad,Technology
EEMA,Asia Pacific Equities,Equity,Large-Cap,Blend,Broad Asia,Pacific ex-Japan,
BWX,International Government Bonds,Bond,,,Developed Markets,Broad,
XSD,Technology Equities,Equity,Multi-Cap,Growth,North America,U.S.,Technology
SIZE,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
NXTG,Large Cap Blend Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,Telecom
VTHR,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
RWL,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
XMMO,Mid Cap Growth Equities,Equity,Mid-Cap,Growth,North America,U.S.,
FTA,Large Cap Value Equities,Equity,Multi-Cap,Blend,North America,U.S.,
PICK,Materials,Equity,Large-Cap,Blend,Developed Markets,Broad,Materials
NUGT,Leveraged Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Materials
CXSE,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
RWX,Global Real Estate,Real Estate,Multi-Cap,Blend,Developed Markets,Broad,Real Estate
IVOG,Mid Cap Growth Equities,Equity,Mid-Cap,Growth,North America,U.S.,
PFXF,Preferred Stock/Convertible Bonds,Preferred Stock,Multi-Cap,Blend,North America,U.S.,
IHDG,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,
AGZ,Total Bond Market,Bond,,,Developed Markets,Broad,
SPLB,Corporate Bonds,Bond,,,North America,U.S.,
FNX,Mid Cap Blend Equities,Equity,Mid-Cap,Blend,North America,U.S.,
PEY,All Cap Equities,Equity,Multi-Cap,Value,North America,U.S.,
FYX,Small Cap Blend Equities,Equity,Micro-Cap,Blend,North America,U.S.,
SIVR,Precious Metals,Commodity,,,,,
AOK,Diversified Portfolio,Multi-Asset,Multi-Cap,Blend,Developed Markets,Broad,
SDIV,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
RCD,Consumer Discretionary Equities,Equity,Multi-Cap,Blend,North America,U.S.,Consumer Discretionary
FENY,Energy Equities,Equity,Multi-Cap,Value,North America,U.S.,Energy
DTD,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
GLTR,Precious Metals,Commodity,,,,,
ILCB,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
IWL,Large Cap Growth Equities,Equity,Mega-Cap,Growth,North America,U.S.,
IMCB,Mid Cap Blend Equities,Equity,Mid-Cap,Blend,North America,U.S.,
CGW,Water Equities ,Equity,Multi-Cap,Blend,Developed Markets,Broad,Industrials
CFO,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,
JPIN,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
BSJM,High Yield Bonds,Bond,,,North America,U.S.,
FSTA,Consumer Staples Equities,Equity,Large-Cap,Blend,North America,U.S.,Consumer Staples
UDOW,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,
FTGC,Commodities,Commodity,,,,,
PCEF,Total Bond Market,Multi-Asset,Multi-Cap,Blend,North America,U.S.,
STPZ,Inflation-Protected Bonds,Bond,,,North America,U.S.,
DVYE,Emerging Markets Equities,Equity,Multi-Cap,Blend,Emerging Markets,Broad,
GWX,Foreign Small & Mid Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
FIW,Water Equities ,Equity,Multi-Cap,Blend,North America,U.S.,Industrials
VTWV,Small Cap Value Equities,Equity,Multi-Cap,Blend,North America,U.S.,
CDC,Large Cap Value Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
MLPA,MLPs,Equity,Multi-Cap,Blend,North America,U.S.,Energy
DBA,Agricultural Commodities,Commodity,,,,,
KBA,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
ISCG,Small Cap Growth Equities,Equity,Small-Cap,Growth,North America,U.S.,
IDU,Utilities Equities,Equity,Multi-Cap,Value,North America,U.S.,Utilities
EPI,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,India,
GMF,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,Broad,
IYK,Consumer Staples Equities,Equity,Large-Cap,Blend,North America,U.S.,Consumer Staples
RYH,Health & Biotech Equities,Equity,Multi-Cap,Blend,North America,U.S.,Healthcare
DHS,Large Cap Value Equities,Equity,Large-Cap,Blend,North America,U.S.,
CORP,Corporate Bonds,Bond,,,Developed Markets,Broad,
CRBN,Large Cap Growth Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
XHE,Health & Biotech Equities,Equity,Multi-Cap,Growth,North America,U.S.,Healthcare
IDLV,Volatility Hedged Equity,Equity,Large-Cap,Blend,Developed Markets,Broad,
UYG,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,Financials
EWQ,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,
QAI,Long-Short,Alternatives,,,Developed Markets,Broad,
FIDU,Industrials Equities,Equity,Large-Cap,Blend,North America,U.S.,Industrials
HYEM,High Yield Bonds,Bond,,,Global,Broad,
SILJ,Materials,Equity,Small-Cap,Blend,Developed Markets,Broad,Materials
BSJL,High Yield Bonds,Bond,,,North America,U.S.,
XTN,Transportation Equities,Equity,Multi-Cap,Blend,North America,U.S.,Industrials
MNA,Hedge Fund,Alternatives,,,Developed Markets,Broad,
VTWG,Small Cap Growth Equities,Equity,Small-Cap,Growth,North America,U.S.,
PPA,Industrials Equities,Equity,Multi-Cap,Blend,North America,U.S.,Industrials
MXI,Materials,Equity,Large-Cap,Blend,Developed Markets,Broad,Materials
EWS,Asia Pacific Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
PWB,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
MLPX,MLPs,Equity,Multi-Cap,Blend,North America,U.S.,Energy
ROM,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
UWM,Leveraged Equities,Equity,Micro-Cap,Blend,North America,U.S.,
EZM,Small Cap Blend Equities,Equity,Small-Cap,Blend,North America,U.S.,
PWV,Large Cap Value Equities,Equity,Large-Cap,Value,North America,U.S.,
IVOV,Mid Cap Value Equities,Equity,Mid-Cap,Value,North America,U.S.,
RDIV,All Cap Equities,Equity,Multi-Cap,Value,North America,U.S.,
FCOM,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,Telecom
PHB,High Yield Bonds,Bond,,,North America,U.S.,
INDY,Asia Pacific Equities,Equity,Mega-Cap,Blend,Emerging Asia Pacific,India,
LGLV,Volatility Hedged Equity,Equity,Multi-Cap,Blend,North America,U.S.,
CFA,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
IPO,All Cap Equities,Equity,Multi-Cap,Growth,Developed Markets,Broad,
IAT,Financials Equities,Equity,Multi-Cap,Value,North America,U.S.,Financials
CHIQ,China Equities,Equity,Large-Cap,Blend,Broad Asia,Pacific ex-Japan,Consumer Discretionary
XNTK,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
COPX,Materials,Equity,Multi-Cap,Blend,Global,Broad,Materials
TIPX,Inflation-Protected Bonds,Bond,,,North America,U.S.,
ILCV,Large Cap Value Equities,Equity,Large-Cap,Value,North America,U.S.,
DIV,Volatility Hedged Equity,Equity,Multi-Cap,Blend,North America,U.S.,
EQAL,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
RTM,Materials,Equity,Mid-Cap,Blend,North America,U.S.,Materials
DWX,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
PSQ,Inverse Equities,Equity,Large-Cap,Growth,North America,U.S.,
SDS,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,
REMX,Materials,Equity,Multi-Cap,Blend,Broad Asia,Broad,Materials
IYM,Materials,Equity,Large-Cap,Blend,Developed Markets,Broad,Materials
XRT,Consumer Discretionary Equities,Equity,Multi-Cap,Blend,North America,U.S.,Consumer Discretionary
PSJ,All Cap Equities,Equity,Multi-Cap,Growth,North America,U.S.,Technology
MUNI,National Munis,Bond,,,North America,U.S.,
DJP,Commodities,Commodity,,,,,
TLTD,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
EES,Small Cap Blend Equities,Equity,Small-Cap,Blend,North America,U.S.,
DWM,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
PFM,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
EWX,Emerging Markets Equities,Equity,Multi-Cap,Blend,Emerging Markets,Broad,
QEFA,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,
TDTF,Inflation-Protected Bonds,Bond,,,North America,U.S.,
PTH,Health & Biotech Equities,Equity,Multi-Cap,Growth,North America,U.S.,Healthcare
CMBS,Mortgage Backed Securities,Bond,,,North America,U.S.,
IGHG,Corporate Bonds,Bond,,,Developed Markets,Broad,
AGQ,Leveraged Commodities,Commodity,,,Broad Asia,Pacific ex-Japan,
COMT,Commodities,Multi-Asset,Multi-Cap,Blend,Developed Markets,Broad,
PSI,Technology Equities,Equity,Multi-Cap,Growth,North America,U.S.,Technology
IQDF,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
DTN,Large Cap Value Equities,Equity,Multi-Cap,Blend,North America,U.S.,
PID,Global Equities,Equity,Multi-Cap,Blend,Global ex-U.S.,Broad,
LTPZ,Inflation-Protected Bonds,Bond,,,North America,U.S.,
SPGM,Global Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
VIOG,Small Cap Growth Equities,Equity,Micro-Cap,Growth,North America,U.S.,
SVXY,Leveraged Volatility,Volatility,,,North America,U.S.,
KXI,Consumer Staples Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,Consumer Staples
FLTR,Corporate Bonds,Bond,,,Developed Markets,Broad,
ECH,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Latin America,Chile,
EWP,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,
GNMA,Mortgage Backed Securities,Bond,,,North America,U.S.,
URA,Commodity Producers Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Materials
LQDH,Corporate Bonds,Bond,,,North America,U.S.,
